cha_code,gender,role,hearing_statuses,child_ids,vtc_label,files
SIB,,Sibling,,BE05|BN31|BS80|CD37|CK67|CW41|FJ11|FM07|GJ44|HW14|KC10|KM33|LH56|LJ30|ME69|MH93|ML27|NF30|PC01|RJ22|SA73|SC42|SL49|SL59|SM42|TM19|TP18|VA66|WA50|WE17|WH09,OCH,BE05_021023a.cha|BE05_021023b.cha|BE05_021023c.cha|BN31_020108c.cha|BS80_020919a.cha|CD37_020115a.cha|CK67_020227a.cha|CK67_020227b.cha|CK67_020227c.cha|CW41_020701a.cha|FJ11_020816a.cha|FJ11_020816b.cha|FJ11_020816c.cha|FM07_020715b.cha|FM07_020715c.cha|GJ44_020028b.cha|HW14_020428b.cha|HW14_020428c.cha|KC10_020417a.cha|KC10_020417b.cha|KM33_020101a.cha|LH56_020706b.cha|LH56_020706c.cha|LJ30_020702a.cha|LJ30_020702b.cha|LJ30_020702c.cha|ME69_020528c.cha|MH93_020602b.cha|MH93_020602c.cha|ML27_020619a.cha|ML27_020619b.cha|NF30_020511a.cha|NF30_020511c.cha|PC01_020423a.cha|RJ22_020612a.cha|RJ22_020612b.cha|RJ22_020612c.cha|SA73_020012a.cha|SA73_020012c.cha|SC42_020909b.cha|SC42_020909c.cha|SL49_020000a.cha|SL49_020000c.cha|SL59_020013a.cha|SL59_020013b.cha|SM42_020215a.cha|SM42_020215b.cha|SM42_020215c.cha|TM19_020526c.cha|TP18_020615b.cha|TP18_020615c.cha|VA66_020527a.cha|WA50_020818a.cha|WA50_020818c.cha|WE17_020711c.cha|WH09_020515b.cha|WH09_020515c.cha
SP01,,Adult,,CK39,FEM,CK39_020510b.cha
SP01,,Sibling,,TP18,OCH,TP18_020615a.cha
SPO1,female,SPO1,,CW41,FEM,CW41_020701a.cha
TEA,,Adult,,CK39,FEM,CK39_020510b.cha
TEL,,Media,,WA04,MED,WA04_020716c.cha
TOY,,Media,,BN31,MED,BN31_020108c.cha
UN1,,Adult,,IA02,MAL,IA02_020511b.cha|IA02_020511c.cha
UN1,,Child,,KA05,OCH,KA05_020516b.cha|KA05_020516c.cha
UN2,,Child,,KA05,OCH,KA05_020516b.cha|KA05_020516c.cha
UN3,,Adult,,KA05,MAL,KA05_020516b.cha
UN3,,Child,,KA05,OCH,KA05_020516c.cha
UN4,,Child,,KA05,OCH,KA05_020516b.cha
UNK,,Unidentified,,BE05|BN31,OCH,BE05_021023b.cha|BN31_020108a.cha
UNK,male,UNK,,FJ11|FM07|ML27|WA04,MAL,FJ11_020816c.cha|FM07_020715b.cha|ML27_020619a.cha|WA04_020716c.cha
WOM,female,WOM,,CD37,FEM,CD37_020115b.cha
